beta,gamma,reproduction_number,s0,i0,r0,max_infected,time_to_peak,final_removed,max_population_deviation
0.5214285714285715,0.2,2.607142857142857,0.972,0.028000000000000004,0.0,0.2597470653387203,12.200000000000001,0.9091482539869278,4.440892098500626e-16
0.5214285714285715,0.2,2.607142857142857,0.954,0.046000000000000006,0.0,0.26690816715307036,10.600000000000001,0.9113456277741477,6.661338147750939e-16
0.5214285714285715,0.2,2.607142857142857,0.9359999999999999,0.064,0.0,0.27421705027793747,9.4,0.9135115621164778,8.881784197001252e-16
0.5214285714285715,0.2,2.607142857142857,0.918,0.082,0.0,0.281682360407068,8.4,0.9156486828283191,6.661338147750939e-16
0.5214285714285715,0.2,2.607142857142857,0.9,0.1,0.0,0.2892621694044924,7.6000000000000005,0.9177583339590404,5.551115123125783e-16
0.5214285714285715,0.25,2.085714285714286,0.99,0.01,0.0,0.17290144392238518,16.6,0.8215544390082364,4.440892098500626e-16
0.5214285714285715,0.25,2.085714285714286,0.972,0.028000000000000004,0.0,0.1816956418728802,12.4,0.8266704561249633,4.440892098500626e-16
0.5214285714285715,0.25,2.085714285714286,0.954,0.046000000000000006,0.0,0.1906543001549332,10.4,0.8316382073694526,1.1102230246251565e-15
0.5214285714285715,0.25,2.085714285714286,0.9359999999999999,0.064,0.0,0.19977964739053453,9.0,0.836476033206811,6.661338147750939e-16
0.5214285714285715,0.25,2.085714285714286,0.918,0.082,0.0,0.20909579323466246,7.800000000000001,0.8411932462342753,6.661338147750939e-16
0.5214285714285715,0.25,2.085714285714286,0.9,0.1,0.0,0.21859579095211637,7.0,0.8457969401064717,4.440892098500626e-16
0.5214285714285715,0.3,1.7380952380952384,0.99,0.01,0.0,0.1123864718974741,17.6,0.7135397709388193,1.6653345369377348e-15
0.5214285714285715,0.3,1.7380952380952384,0.972,0.028000000000000004,0.0,0.12293401535689294,12.4,0.7236790428240415,1.6653345369377348e-15
0.5214285714285715,0.3,1.7380952380952384,0.954,0.046000000000000006,0.0,0.1336945361890381,10.0,0.7332981012495721,6.661338147750939e-16
0.5214285714285715,0.3,1.7380952380952384,0.9359999999999999,0.064,0.0,0.14465330516532812,8.200000000000001,0.7424732769606993,4.440892098500626e-16
0.5214285714285715,0.3,1.7380952380952384,0.918,0.082,0.0,0.1558298371997442,7.0,0.7512536581417911,2.220446049250313e-16
0.5214285714285715,0.3,1.7380952380952384,0.9,0.1,0.0,0.1672228776637497,6.0,0.759677427552008,6.661338147750939e-16
0.6142857142857143,0.05,12.285714285714286,0.99,0.01,0.0,0.7152326784451524,12.8,0.9719893186270002,1.1102230246251565e-15
0.6142857142857143,0.05,12.285714285714286,0.972,0.028000000000000004,0.0,0.7166978770754284,10.8,0.9744468598318544,9.992007221626409e-16
0.6142857142857143,0.05,12.285714285714286,0.954,0.046000000000000006,0.0,0.7182474312395606,10.0,0.9755600809278517,4.440892098500626e-16
0.6142857142857143,0.05,12.285714285714286,0.9359999999999999,0.064,0.0,0.7197635030674152,9.4,0.9762771435538078,8.881784197001252e-16
0.6142857142857143,0.05,12.285714285714286,0.918,0.082,0.0,0.7213921289850302,8.8,0.9768037281670615,4.440892098500626e-16
0.6142857142857143,0.05,12.285714285714286,0.9,0.1,0.0,0.7230043508641489,8.4,0.9772186085971986,4.440892098500626e-16
0.6142857142857143,0.1,6.142857142857143,0.99,0.01,0.0,0.5432828585371654,12.4,0.9968605134318215,9.992007221626409e-16
0.6142857142857143,0.1,6.142857142857143,0.972,0.028000000000000004,0.0,0.5462911614562685,10.4,0.9970813027195604,6.661338147750939e-16
0.6142857142857143,0.1,6.142857142857143,0.954,0.046000000000000006,0.0,0.5493091954873587,9.4,0.9971977445164556,1.1102230246251565e-15
